cds	gene
cds199	gene106
cds200	gene106
cds200	gene106
cds200	gene106
cds200	gene106
cds200	gene106
cds200	gene106
cds201	gene107
cds201	gene107
cds201	gene107
cds201	gene107
cds201	gene107
cds201	gene107
cds201	gene107
cds201	gene107
cds201	gene107
cds201	gene107
cds202	gene107
cds202	gene107
cds202	gene107
cds202	gene107
cds202	gene107
cds202	gene107
cds202	gene107
cds202	gene107
cds202	gene107
cds202	gene107
cds203	gene107
cds203	gene107
cds203	gene107
cds203	gene107
cds203	gene107
cds203	gene107
cds203	gene107
cds203	gene107
cds203	gene107
cds203	gene107
cds204	gene107
cds204	gene107
cds204	gene107
cds204	gene107
cds204	gene107
cds204	gene107
cds204	gene107
cds204	gene107
cds204	gene107
cds204	gene107
cds205	gene107
cds205	gene107
cds205	gene107
cds205	gene107
cds205	gene107
cds205	gene107
cds205	gene107
cds205	gene107
cds205	gene107
cds205	gene107
cds206	gene108
cds206	gene108
cds206	gene108
cds207	gene108
cds207	gene108
cds208	gene109
cds208	gene109
cds208	gene109
cds208	gene109
cds208	gene109
cds208	gene109
cds208	gene109
cds208	gene109
cds208	gene109
cds209	gene109
cds209	gene109
cds209	gene109
cds209	gene109
cds209	gene109
cds209	gene109
cds209	gene109
cds209	gene109
cds209	gene109
cds210	gene109
cds210	gene109
cds210	gene109
cds210	gene109
cds210	gene109
cds210	gene109
cds210	gene109
cds210	gene109
cds210	gene109
cds211	gene109
cds211	gene109
cds211	gene109
cds211	gene109
cds211	gene109
cds211	gene109
cds211	gene109
cds211	gene109
cds211	gene109
cds211	gene109
cds212	gene109
cds212	gene109
cds212	gene109
cds212	gene109
cds212	gene109
cds212	gene109
cds212	gene109
cds212	gene109
cds212	gene109
cds213	gene110
cds214	gene111
cds214	gene111
cds214	gene111
cds214	gene111
cds215	gene112
cds215	gene112
cds215	gene112
cds215	gene112
cds215	gene112
cds215	gene112
cds215	gene112
cds216	gene112
cds216	gene112
cds216	gene112
cds216	gene112
cds216	gene112
cds216	gene112
cds216	gene112
cds217	gene112
cds217	gene112
cds217	gene112
cds217	gene112
cds217	gene112
cds217	gene112
cds217	gene112
cds218	gene112
cds218	gene112
cds218	gene112
cds218	gene112
cds218	gene112
cds218	gene112
cds218	gene112
cds219	gene113
cds219	gene113
cds219	gene113
cds219	gene113
cds219	gene113
cds220	gene113
cds220	gene113
cds220	gene113
cds220	gene113
cds220	gene113
cds221	gene114
cds221	gene114
cds221	gene114
cds221	gene114
cds222	gene115
cds222	gene115
cds222	gene115
cds222	gene115
cds222	gene115
cds223	gene115
cds223	gene115
cds223	gene115
cds223	gene115
cds223	gene115
cds224	gene116
cds224	gene116
cds224	gene116
cds224	gene116
cds224	gene116
cds225	gene117
cds225	gene117
cds226	gene118
cds226	gene118
cds227	gene119
cds227	gene119
cds227	gene119
cds227	gene119
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds228	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds229	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds230	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds231	gene120
cds232	gene120
cds232	gene120
cds232	gene120
cds232	gene120
cds232	gene120
cds232	gene120
cds232	gene120
cds232	gene120
