cds	gene
cds129	gene121
cds129	gene121
cds129	gene121
cds129	gene121
cds129	gene121
cds129	gene121
cds129	gene121
cds129	gene121
cds130	gene122
cds130	gene122
cds130	gene122
cds130	gene122
cds130	gene122
cds130	gene122
cds130	gene122
cds130	gene122
cds130	gene122
cds130	gene122
cds130	gene122
cds130	gene122
cds130	gene122
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds131	gene123
cds132	gene124
cds133	gene125
cds133	gene125
cds134	gene126
cds134	gene126
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds135	gene127
cds136	gene128
cds136	gene128
cds137	gene129
cds137	gene129
cds137	gene129
cds137	gene129
cds138	gene130
cds138	gene130
cds138	gene130
cds138	gene130
cds138	gene130
cds139	gene131
cds139	gene131
cds139	gene131
cds139	gene131
cds139	gene131
cds139	gene131
cds139	gene131
cds139	gene131
cds139	gene131
cds139	gene131
cds139	gene131
cds139	gene131
cds139	gene131
cds139	gene131
cds140	gene132
cds140	gene132
cds140	gene132
cds140	gene132
cds140	gene132
cds140	gene132
cds141	gene133
cds141	gene133
cds141	gene133
cds141	gene133
cds141	gene133
cds141	gene133
cds141	gene133
cds142	gene134
cds143	gene134
cds144	gene135
cds145	gene136
cds145	gene136
cds146	gene137
cds146	gene137
cds147	gene138
cds147	gene138
cds147	gene138
cds148	gene139
cds148	gene139
cds148	gene139
cds148	gene139
cds148	gene139
cds148	gene139
cds149	gene139
cds149	gene139
cds149	gene139
cds149	gene139
cds149	gene139
cds149	gene139
cds150	gene139
cds150	gene139
cds150	gene139
cds150	gene139
cds150	gene139
cds151	gene140
cds151	gene140
cds151	gene140
cds152	gene141
cds152	gene141
cds152	gene141
cds153	gene142
cds153	gene142
cds153	gene142
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds154	gene143
cds155	gene144
cds155	gene144
cds155	gene144
cds155	gene144
cds155	gene144
cds155	gene144
cds155	gene144
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds156	gene145
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds157	gene146
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds158	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds159	gene147
cds160	gene148
cds160	gene148
cds160	gene148
cds160	gene148
cds160	gene148
cds160	gene148
cds160	gene148
cds161	gene148
cds161	gene148
cds161	gene148
cds161	gene148
cds161	gene148
cds161	gene148
cds161	gene148
cds162	gene149
cds162	gene149
cds162	gene149
cds162	gene149
cds162	gene149
cds162	gene149
cds162	gene149
cds162	gene149
cds162	gene149
cds162	gene149
cds163	gene150
cds163	gene150
cds163	gene150
cds163	gene150
cds163	gene150
cds163	gene150
cds163	gene150
cds163	gene150
cds164	gene151
cds164	gene151
cds165	gene152
cds165	gene152
cds166	gene153
cds166	gene153
cds166	gene153
cds166	gene153
cds167	gene154
cds167	gene154
cds168	gene155
cds168	gene155
cds168	gene155
cds168	gene155
cds168	gene155
cds168	gene155
cds168	gene155
cds168	gene155
cds169	gene156
cds170	gene157
cds170	gene157
cds170	gene157
cds170	gene157
cds171	gene158
cds171	gene158
cds172	gene160
cds172	gene160
cds172	gene160
cds172	gene160
cds172	gene160
cds172	gene160
cds173	gene161
cds173	gene161
cds173	gene161
cds173	gene161
cds173	gene161
cds173	gene161
cds173	gene161
cds173	gene161
cds173	gene161
cds173	gene161
cds173	gene161
cds173	gene161
cds173	gene161
cds173	gene161
cds173	gene161
cds174	gene162
cds174	gene162
cds175	gene163
cds175	gene163
cds175	gene163
cds175	gene163
cds176	gene164
cds176	gene164
cds176	gene164
cds176	gene164
cds176	gene164
cds176	gene164
cds176	gene164
cds176	gene164
cds176	gene164
cds176	gene164
cds176	gene164
cds176	gene164
cds176	gene164
cds176	gene164
cds176	gene164
cds177	gene165
cds178	gene166
cds179	gene166
cds180	gene167
cds181	gene168
cds181	gene168
cds181	gene168
cds182	gene169
cds182	gene169
cds183	gene170
cds184	gene171
cds185	gene172
cds185	gene172
cds186	gene173
cds186	gene173
cds187	gene174
cds188	gene176
cds188	gene176
cds189	gene177
cds190	gene178
cds191	gene179
cds192	gene180
cds193	gene181
cds194	gene182
cds194	gene182
cds195	gene183
cds195	gene183
cds195	gene183
cds195	gene183
cds196	gene184
cds196	gene184
cds197	gene185
cds198	gene186
cds199	gene187
cds199	gene187
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds200	gene188
cds201	gene189
cds201	gene189
cds201	gene189
cds202	gene190
cds202	gene190
cds203	gene191
cds203	gene191
cds203	gene191
cds203	gene191
cds203	gene191
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds204	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
