cds	gene
cds171	gene187
cds171	gene187
cds171	gene187
cds171	gene187
cds171	gene187
cds171	gene187
cds172	gene188
cds172	gene188
cds172	gene188
cds172	gene188
cds172	gene188
cds172	gene188
cds172	gene188
cds172	gene188
cds172	gene188
cds172	gene188
cds173	gene189
cds173	gene189
cds173	gene189
cds173	gene189
cds173	gene189
cds173	gene189
cds173	gene189
cds173	gene189
cds173	gene189
cds174	gene190
cds174	gene190
cds174	gene190
cds174	gene190
cds174	gene190
cds174	gene190
cds174	gene190
cds175	gene191
cds175	gene191
cds175	gene191
cds176	gene193
cds176	gene193
cds176	gene193
cds176	gene193
cds176	gene193
cds176	gene193
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds177	gene194
cds178	gene195
cds178	gene195
cds179	gene196
cds179	gene196
cds179	gene196
cds179	gene196
cds179	gene196
cds179	gene196
cds179	gene196
cds180	gene197
cds181	gene198
cds181	gene198
cds181	gene198
cds181	gene198
cds181	gene198
cds181	gene198
cds181	gene198
cds181	gene198
cds181	gene198
cds181	gene198
cds181	gene198
cds181	gene198
cds181	gene198
cds182	gene199
cds182	gene199
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds183	gene200
cds184	gene201
cds185	gene202
cds185	gene202
cds185	gene202
cds185	gene202
cds186	gene203
cds187	gene204
cds187	gene204
cds188	gene205
cds188	gene205
cds188	gene205
cds188	gene205
cds188	gene205
cds188	gene205
cds188	gene205
cds188	gene205
cds188	gene205
cds188	gene205
cds189	gene206
cds189	gene206
cds189	gene206
cds189	gene206
cds189	gene206
cds189	gene206
cds189	gene206
cds189	gene206
cds189	gene206
cds189	gene206
cds189	gene206
cds190	gene207
cds190	gene207
cds190	gene207
cds190	gene207
cds190	gene207
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds191	gene208
cds192	gene209
cds192	gene209
cds192	gene209
cds192	gene209
cds192	gene209
cds192	gene209
cds192	gene209
cds193	gene210
cds194	gene211
cds194	gene211
cds194	gene211
cds195	gene212
cds195	gene212
cds195	gene212
cds196	gene213
cds196	gene213
cds196	gene213
cds196	gene213
cds196	gene213
cds197	gene214
cds198	gene215
cds199	gene216
cds199	gene216
cds199	gene216
cds199	gene216
cds199	gene216
cds199	gene216
cds199	gene216
cds199	gene216
cds199	gene216
cds199	gene216
cds199	gene216
cds199	gene216
cds199	gene216
cds199	gene216
cds199	gene216
cds200	gene217
cds200	gene217
cds201	gene218
cds201	gene218
cds201	gene218
cds201	gene218
cds201	gene218
cds201	gene218
cds201	gene218
cds201	gene218
cds202	gene219
cds202	gene219
cds203	gene221
cds203	gene221
cds203	gene221
cds204	gene222
cds204	gene222
cds204	gene222
cds204	gene222
cds204	gene222
cds204	gene222
cds204	gene222
cds205	gene223
cds205	gene223
cds205	gene223
cds205	gene223
cds205	gene223
cds205	gene223
cds205	gene223
cds205	gene223
cds205	gene223
cds205	gene223
cds205	gene223
cds205	gene223
cds206	gene225
cds207	gene226
cds207	gene226
cds208	gene227
cds209	gene228
cds209	gene228
cds210	gene229
cds210	gene229
cds210	gene229
cds210	gene229
cds210	gene229
cds210	gene229
cds210	gene229
cds210	gene229
cds210	gene229
cds211	gene230
cds211	gene230
cds211	gene230
cds211	gene230
cds212	gene231
cds212	gene231
cds212	gene231
cds213	gene232
cds213	gene232
cds214	gene233
cds214	gene233
cds214	gene233
cds214	gene233
cds214	gene233
cds214	gene233
cds214	gene233
cds214	gene233
cds214	gene233
cds215	gene234
cds215	gene234
cds215	gene234
cds215	gene234
cds215	gene234
cds215	gene234
cds215	gene234
cds215	gene234
cds215	gene234
cds215	gene234
cds215	gene234
cds216	gene235
cds216	gene235
cds216	gene235
cds216	gene235
cds216	gene235
cds216	gene235
cds216	gene235
cds216	gene235
cds216	gene235
cds217	gene236
cds217	gene236
cds217	gene236
cds217	gene236
cds217	gene236
cds217	gene236
cds217	gene236
cds217	gene236
cds217	gene236
cds217	gene236
cds217	gene236
cds217	gene236
cds218	gene237
cds218	gene237
cds218	gene237
cds218	gene237
cds218	gene237
cds219	gene238
cds219	gene238
cds219	gene238
cds219	gene238
cds220	gene239
cds220	gene239
cds220	gene239
cds220	gene239
cds220	gene239
cds220	gene239
cds220	gene239
cds220	gene239
cds221	gene240
cds221	gene240
cds221	gene240
cds222	gene241
cds222	gene241
cds222	gene241
cds222	gene241
cds222	gene241
cds222	gene241
cds223	gene242
cds223	gene242
cds223	gene242
cds223	gene242
cds223	gene242
cds223	gene242
cds223	gene242
cds223	gene242
cds223	gene242
cds224	gene243
cds224	gene243
cds224	gene243
cds224	gene243
cds225	gene244
cds226	gene245
cds227	gene246
cds227	gene246
cds227	gene246
cds227	gene246
cds227	gene246
cds227	gene246
cds227	gene246
cds227	gene246
cds227	gene246
cds228	gene247
cds228	gene247
cds228	gene247
cds228	gene247
cds228	gene247
cds228	gene247
cds228	gene247
cds228	gene247
cds228	gene247
cds229	gene248
cds229	gene248
cds229	gene248
cds229	gene248
cds229	gene248
cds229	gene248
cds229	gene248
cds230	gene249
cds230	gene249
cds230	gene249
cds230	gene249
cds230	gene249
cds230	gene249
cds231	gene250
cds231	gene250
cds231	gene250
cds231	gene250
cds231	gene250
cds231	gene250
cds232	gene251
cds232	gene251
cds233	gene252
cds233	gene252
cds233	gene252
cds233	gene252
cds234	gene253
cds234	gene253
cds235	gene254
cds236	gene255
cds236	gene255
cds236	gene255
cds236	gene255
cds236	gene255
cds237	gene256
cds237	gene256
cds238	gene257
cds238	gene257
cds238	gene257
cds239	gene259
cds239	gene259
cds240	gene261
cds240	gene261
cds241	gene262
cds241	gene262
cds242	gene263
cds242	gene263
cds242	gene263
cds242	gene263
cds243	gene264
cds243	gene264
cds243	gene264
cds243	gene264
cds243	gene264
cds244	gene265
cds245	gene266
cds245	gene266
cds245	gene266
cds245	gene266
cds246	gene268
cds246	gene268
cds246	gene268
cds246	gene268
cds246	gene268
cds246	gene268
cds246	gene268
cds246	gene268
cds246	gene268
cds246	gene268
cds247	gene270
cds247	gene270
cds248	gene271
cds248	gene271
cds248	gene271
cds248	gene271
cds249	gene272
cds249	gene272
cds249	gene272
cds249	gene272
cds249	gene272
cds249	gene272
cds249	gene272
cds249	gene272
cds249	gene272
cds249	gene272
cds249	gene272
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds250	gene273
cds251	gene274
cds251	gene274
cds251	gene274
cds251	gene274
cds251	gene274
cds251	gene274
cds251	gene274
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds252	gene275
cds253	gene276
cds253	gene276
cds253	gene276
cds253	gene276
cds253	gene276
cds253	gene276
cds253	gene276
cds253	gene276
cds254	gene277
cds254	gene277
cds254	gene277
cds254	gene277
cds254	gene277
cds254	gene277
cds254	gene277
cds255	gene278
cds255	gene278
cds255	gene278
cds255	gene278
cds255	gene278
cds256	gene279
cds256	gene279
cds256	gene279
cds256	gene279
cds256	gene279
cds256	gene279
cds257	gene280
cds257	gene280
cds257	gene280
cds257	gene280
cds257	gene280
cds257	gene280
cds257	gene280
cds257	gene280
cds257	gene280
cds257	gene280
cds258	gene281
cds258	gene281
cds258	gene281
cds258	gene281
cds258	gene281
cds258	gene281
cds258	gene281
cds259	gene282
cds260	gene283
cds261	gene284
cds262	gene285
cds262	gene285
cds262	gene285
cds262	gene285
cds263	gene286
cds263	gene286
cds264	gene287
cds264	gene287
cds264	gene287
cds264	gene287
cds265	gene288
cds265	gene288
cds265	gene288
cds265	gene288
cds265	gene288
cds265	gene288
cds265	gene288
cds265	gene288
cds265	gene288
cds266	gene289
cds266	gene289
cds266	gene289
cds266	gene289
cds266	gene289
cds266	gene289
cds266	gene289
cds266	gene289
cds266	gene289
cds266	gene289
cds266	gene289
cds267	gene290
cds267	gene290
cds268	gene291
cds268	gene291
cds269	gene292
cds269	gene292
cds269	gene292
cds270	gene293
cds270	gene293
cds270	gene293
cds270	gene293
cds270	gene293
cds270	gene293
cds270	gene293
cds270	gene293
cds270	gene293
cds270	gene293
cds270	gene293
cds270	gene293
cds270	gene293
cds270	gene293
cds270	gene293
cds271	gene294
cds272	gene295
cds272	gene295
cds272	gene295
cds272	gene295
cds272	gene295
cds272	gene295
cds272	gene295
cds272	gene295
cds272	gene295
cds273	gene296
cds273	gene296
cds273	gene296
cds273	gene296
cds273	gene296
cds273	gene296
cds273	gene296
cds273	gene296
cds273	gene296
cds273	gene296
cds274	gene297
cds274	gene297
cds274	gene297
cds274	gene297
cds275	gene298
cds276	gene299
cds276	gene299
cds276	gene299
cds276	gene299
cds276	gene299
cds276	gene299
cds276	gene299
cds276	gene299
cds277	gene300
cds277	gene300
cds277	gene300
cds277	gene300
cds277	gene300
cds277	gene300
cds277	gene300
